product_key,wtb_count,diy_workaround_count,howto_install_count,oem_gap,etsy_count,makerworld_count,oem_in_stock_substitute,source_diversity,recency_boost,evidence_7d
SOMO-RAD-SUN-01,1,2,0,1,8,0,false,0.8,0.8,5
aventon_front_basket,1,0,0,0,0,0,false,0.2,0.35,1
rad_large_front_mounted_basket,1,0,4,1,0,0,false,0.55,0.55,2
rad_radrover_rear_rack,0,0,0,1,0,0,false,0.35,0.4,1
rad_radrunner_passenger_package,0,0,0,1,0,0,false,0.35,0.4,1
rad_display_phone_mount,0,0,7,0,0,0,true,0.6,0.7,0
rad_power_charging_port_dust_cap,0,0,0,0,1,0,true,0.4,0.5,0
